PLAYER_ID,SEASON_ID,PTS,AST,REB,GP,MIN,TEAM_ID,IS_ACTIVE,PLAYER_NAME,PLAYER_AGE,SEASON_NUM,PTS_NEXT,AST_NEXT,REB_NEXT,GP_NEXT,MIN_NEXT
2544,2003-04,20.94,5.89,5.47,79,39.49,1610612739,True,LeBron James,19.0,1,27.19,7.21,7.35,80.0,42.35
2544,2004-05,27.19,7.21,7.35,80,42.35,1610612739,True,LeBron James,20.0,2,31.37,6.59,7.04,79.0,42.54
2544,2005-06,31.37,6.59,7.04,79,42.54,1610612739,True,LeBron James,21.0,3,27.33,6.03,6.74,78.0,40.9
2544,2006-07,27.33,6.03,6.74,78,40.9,1610612739,True,LeBron James,22.0,4,30.0,7.19,7.89,75.0,40.36
2544,2007-08,30.0,7.19,7.89,75,40.36,1610612739,True,LeBron James,23.0,5,28.44,7.25,7.57,81.0,37.7
2544,2008-09,28.44,7.25,7.57,81,37.7,1610612739,True,LeBron James,24.0,6,29.71,8.57,7.29,76.0,39.03
2544,2009-10,29.71,8.57,7.29,76,39.03,1610612739,True,LeBron James,25.0,7,26.72,7.01,7.47,79.0,38.77
2544,2010-11,26.72,7.01,7.47,79,38.77,1610612748,True,LeBron James,26.0,8,27.15,6.24,7.94,62.0,37.52
2544,2011-12,27.15,6.24,7.94,62,37.52,1610612748,True,LeBron James,27.0,9,26.79,7.25,8.03,76.0,37.86
2544,2012-13,26.79,7.25,8.03,76,37.86,1610612748,True,LeBron James,28.0,10,27.13,6.34,6.92,77.0,37.69
2544,2013-14,27.13,6.34,6.92,77,37.69,1610612748,True,LeBron James,29.0,11,25.26,7.41,6.03,69.0,36.13
2544,2014-15,25.26,7.41,6.03,69,36.13,1610612739,True,LeBron James,30.0,12,25.26,6.76,7.43,76.0,35.64
2544,2015-16,25.26,6.76,7.43,76,35.64,1610612739,True,LeBron James,31.0,13,26.41,8.73,8.64,74.0,37.77
2544,2016-17,26.41,8.73,8.64,74,37.77,1610612739,True,LeBron James,32.0,14,27.45,9.11,8.65,82.0,36.9
