SEASON_ID,TEAM_ID,PLAYER_AGE,GP,GS,MIN,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,PLAYER_NAME,PLAYER_ID,IS_ACTIVE
2023-24,1610612759,20.0,71,71,2106.0,1522,274,755,0.465,0.325,0.796,Victor Wembanyama,1641705,True
2024-25,1610612759,21.0,46,46,1527.0,1116,168,506,0.476,0.352,0.836,Victor Wembanyama,1641705,True
2022-23,1610612759,20.0,37,1,669.0,184,98,82,0.321,0.385,0.591,Blake Wesley,1631104,True
2023-24,1610612759,21.0,61,3,876.0,268,166,94,0.474,0.218,0.667,Blake Wesley,1631104,True
2024-25,1610612759,22.0,58,0,683.0,217,114,61,0.435,0.293,0.623,Blake Wesley,1631104,True
2008-09,1610612760,20.0,82,65,2668.0,1256,435,399,0.398,0.271,0.815,Russell Westbrook,201566,True
2009-10,1610612760,21.0,82,82,2813.0,1322,652,401,0.418,0.221,0.78,Russell Westbrook,201566,True
2010-11,1610612760,22.0,82,82,2847.0,1793,670,379,0.442,0.33,0.842,Russell Westbrook,201566,True
2011-12,1610612760,23.0,66,66,2331.0,1558,362,301,0.457,0.316,0.823,Russell Westbrook,201566,True
2012-13,1610612760,24.0,82,82,2861.0,1903,607,428,0.438,0.323,0.8,Russell Westbrook,201566,True
2013-14,1610612760,25.0,46,46,1412.0,1002,319,263,0.437,0.318,0.826,Russell Westbrook,201566,True
2014-15,1610612760,26.0,67,67,2302.0,1886,574,488,0.426,0.299,0.835,Russell Westbrook,201566,True
2015-16,1610612760,27.0,80,80,2750.0,1878,834,626,0.454,0.296,0.812,Russell Westbrook,201566,True
2016-17,1610612760,28.0,81,81,2802.0,2558,840,864,0.425,0.343,0.845,Russell Westbrook,201566,True
2017-18,1610612760,29.0,80,80,2914.0,2028,820,804,0.449,0.298,0.737,Russell Westbrook,201566,True
2018-19,1610612760,30.0,73,73,2629.0,1675,784,807,0.428,0.29,0.656,Russell Westbrook,201566,True
2019-20,1610612745,31.0,57,57,2049.0,1553,401,451,0.472,0.258,0.763,Russell Westbrook,201566,True
2020-21,1610612764,32.0,65,65,2369.0,1445,763,750,0.439,0.315,0.656,Russell Westbrook,201566,True
2021-22,1610612747,33.0,78,78,2678.0,1441,550,580,0.444,0.298,0.667,Russell Westbrook,201566,True
2022-23,1610612747,34.0,52,3,1491.0,827,391,321,0.417,0.296,0.655,Russell Westbrook,201566,True
2022-23,1610612746,34.0,21,21,635.0,332,160,102,0.489,0.356,0.658,Russell Westbrook,201566,True
2022-23,0,34.0,73,24,2126.0,1159,551,423,0.436,0.311,0.656,Russell Westbrook,201566,True
2023-24,1610612746,35.0,68,11,1529.0,754,306,343,0.454,0.273,0.688,Russell Westbrook,201566,True
2024-25,1610612743,36.0,75,36,2092.0,994,457,370,0.449,0.323,0.661,Russell Westbrook,201566,True
2024-25,1610612755,22.0,5,0,44.0,8,2,8,0.143,0.0,1.0,Phillip Wheeler,1630762,True
2019-20,1610612741,20.0,65,1,1674.0,859,175,230,0.394,0.354,0.791,Coby White,1629632,True
2020-21,1610612741,21.0,69,54,2156.0,1041,328,284,0.416,0.359,0.901,Coby White,1629632,True
2021-22,1610612741,22.0,61,17,1675.0,772,176,182,0.433,0.385,0.857,Coby White,1629632,True
2022-23,1610612741,23.0,74,2,1730.0,715,204,212,0.443,0.372,0.871,Coby White,1629632,True
2023-24,1610612741,24.0,79,78,2881.0,1509,405,358,0.447,0.376,0.838,Coby White,1629632,True
2024-25,1610612741,25.0,74,73,2450.0,1509,330,273,0.453,0.37,0.902,Coby White,1629632,True
